390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,279
390,280
390,280
390,280
390,280
390,280
390,280
390,280
390,280
390,280
390,280
390,280
390,280
393,295
396,310
402,337
420,407
434,443
472,500
496,514
525,519
596,497
636,470
675,437
738,364
761,324
794,251
803,228
808,217
810,211
811,213
811,220
811,251
814,277
833,327
847,345
871,355
912,360
940,349
962,335
1000,285
1012,257
1015,194
1003,166
985,144
940,125
910,126
880,134
828,177
811,206
803,263
812,293
828,315
879,339
907,341
940,333
993,300
1009,278
1018,238
1013,214
1000,195
949,166
918,161
882,162
802,193
766,220
727,274
719,302
719,327
747,362
769,369
826,370
856,360
885,343
915,299
918,279
913,257
868,206
829,187
727,168
667,171
609,181
507,225
473,253
452,283
442,333
456,355
509,383
546,388
588,383
670,355
702,334
721,313
728,281
721,263
678,238
644,231
605,227
518,237
477,254
439,275
391,325
383,349
395,386
416,400
449,408
518,406
557,393
591,373
637,321
643,297
632,254
613,236
584,221
514,210
472,215
430,230
360,274
341,301
332,357
345,383
366,404
440,427
478,427
523,420
602,383
626,357
640,308
635,284
621,262
564,223
523,212
481,208
399,222
363,240
323,286
320,312
325,336
373,384
414,399
465,407
501,404
543,384
613,326
633,292
644,256
629,192
611,165
583,142
504,120
463,120
374,148
338,174
315,204
297,272
307,304
330,335
414,375
469,381
589,363
643,343
689,315
742,256
750,228
749,206
722,171
696,159
629,154
584,163
540,180
468,236
445,267
435,295
448,343
468,362
542,384
594,383
645,371
737,324
769,294
791,259
799,202
792,172
742,130
704,119
660,115
570,129
523,149
482,176
438,239
431,274
456,335
489,361
535,379
648,385
709,375
764,357
845,305
864,278
871,234
862,213
842,194
778,170
739,169
698,171
613,199
581,221
549,274
549,296
557,324
614,367
657,379
757,380
806,364
845,343
894,291
903,261
902,233
868,179
838,156
759,130
718,130
671,135
592,170
569,194
554,220
555,280
574,310
647,356
698,366
749,368
844,340
877,316
898,289
911,233
904,203
858,147
823,125
785,112
696,105
656,114
619,131
573,176
561,207
569,264
588,294
616,316
693,344
734,346
771,340
820,307
832,288
835,249
824,229
808,211
750,182
716,175
677,174
599,194
567,212
525,261
517,288
517,316
547,366
579,388
623,401
717,408
765,397
838,352
856,327
866,300
856,249
837,222
807,201
721,167
674,161
571,174
525,189
488,209
445,261
438,290
440,316
480,362
520,381
603,390
653,383
696,372
756,334
770,310
776,288
764,247
743,226
678,195
638,187
596,184
509,196
470,212
438,232
405,277
402,297
428,345
461,366
500,383
607,393
666,384
720,368
793,323
813,298
822,248
812,222
792,197
720,157
672,145
619,140
514,154
464,172
398,219
384,246
379,272
408,325
445,345
491,361
606,369
670,362
763,327
792,302
808,275
808,230
792,205
764,185
682,157
633,155
535,169
493,188
457,215
424,275
425,303
439,334
504,390
556,408
669,418
727,411
779,395
847,348
860,322
856,271
839,244
811,224
726,193
674,188
619,189
512,216
469,238
420,292
412,319
414,345
465,396
510,417
564,431
684,434
743,424
832,382
856,358
867,332
858,282
834,256
799,232
690,197
625,191
490,205
428,224
380,249
325,305
318,337
324,369
381,424
431,443
550,462
613,457
675,440
766,391
789,361
799,331
783,269
756,240
663,193
602,181
536,175
409,188
350,206
305,230
258,286
255,312
285,370
321,396
370,416
489,428
550,421
601,407
662,361
672,336
658,282
629,253
588,226
474,187
408,179
340,175
207,190
153,207
84,244
72,259
69,272
82,295
100,301
126,304
185,292
212,275
248,228
254,201
254,177
233,101
212,59
146,0
104,0
60,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
